"name","sku","asin","size","pattern","color"
"传统花卉粉","G24451-1-Pink--5x7","B0DQ8JSCVD","5x7","G24451","Pink"
"传统花卉粉","G24451-1-Pink--6x9","B0DQ8R7236","6x9","G24451","Pink"
"传统花卉粉","G24451-1-Pink--8x10","B0DQ8SHCCL","8x10","G24451","Pink"
"传统花卉粉","G24451-1-Pink--9x12","B0DQ8LWKHK","9x12","G24451","Pink"
"传统花卉黑","G24451-4-Blue-5x7","B0DQ8SVXRX","5x7","G24451","Blue"
"传统花卉黑","G24451-4-Blue-6x9","B0DQ8SFYYM","6x9","G24451","Blue"
"传统花卉黑","G24451-4-Blue-8x10","B0DQ8R6L2D","8x10","G24451","Blue"
"传统花卉黑","G24451-4-Blue-9x12","B0DQ8JT91X","9x12","G24451","Blue"
"传统花卉黑金","G24451-2-Bronze-5x7","B0DQ8KKQ4G","5x7","G24451","Bronze"
"传统花卉黑金","G24451-2-Bronze-6x9","B0DQ8LPFLB","6x9","G24451","Bronze"
"传统花卉黑金","G24451-2-Bronze-8x10","B0DQ8KW2VV","8x10","G24451","Bronze"
"传统花卉黑金","G24451-2-Bronze-9x12","B0DQ8PLLMR","9x12","G24451","Bronze"
